,country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,minimumChronometricAge,minimumChronometricAgeReferenceSystem,maximumChronometricAge,maximumChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,bcid,expeditionCode,projectId
11,USA,La Jolla Tidepools,2019,LAJ_010919,Eric Crandall,NA,Eric Crandall,NA,NA,NA,9,NA,NA,32.847464,-117.277691,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,100,NA,Geolocate,NA,0,NA,NA,1,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2LAJ_010919,Crandall_WC,118
12,USA,Carpinteria,2019,CAR_011019,Eric Crandall,NA,Eric Crandall,NA,NA,NA,10,NA,NA,34.387257,-119.513572,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,100,NA,Geolocate,NA,0,NA,NA,1,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/carpinteria.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2CAR_011019,Crandall_WC,118
13,USA,Trinidad Head,2016,LAU_080116,Eric Crandall,NA,Eric Crandall,NA,NA,NA,1,NA,NA,41.057183,-124.145449,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,50,NA,Geolocate,NA,0,NA,NA,8,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/launcher.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2LAU_080116,Crandall_WC,118
14,USA,Refugio Beach,2017,REF_072217,Eric Crandall,NA,Eric Crandall|Annalyn Roberts,NA,NA,NA,22,NA,NA,34.460525,-120.074125,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,50,NA,GPS,NA,0,NA,NA,7,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/refugio.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2REF_072217,Crandall_WC,118
15,USA,Hazard Reef,2017,HAZ_072317,Eric Crandall,NA,Eric Crandall|Annalyn Roberts,NA,NA,NA,23,NA,NA,35.289806,-120.883968,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,50,NA,GPS,NA,0,NA,NA,7,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/hazards.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2HAZ_072317,Crandall_WC,118
16,USA,Vista Del Mar,2017,VIS_072417,Eric Crandall,NA,Eric Crandall|Annalyn Roberts,NA,NA,NA,24,NA,NA,35.604713,-121.143064,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,50,NA,GPS,NA,0,NA,NA,7,CDFW SC-13400,NA,California,NA,NA,NA,NA,NA,https://www.eeb.ucsc.edu/pacificrockyintertidal/sitepages/vistadelmar.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://n2t.net/ark:/21547/Cno2VIS_072417,Crandall_WC,118
17,MX,Punta Lobos,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.88267,-114.42937,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kya,NA,kya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,MX,Faro San José,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.25088,-114.84824,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kya,NA,kya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,MX,Punta San Carlos,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.62175,-115.48472,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kya,NA,kya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,MX,Punta Baja,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.94938,-115.81323,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kya,NA,kya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,MX,Punta Clara,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.53078,-116.65962,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kya,NA,kya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,MX,El Zeppelin,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.70399,-116.68974,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kya,NA,kya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,MX,Playa Encantada,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.18033,-116.9105,NA,NA,NA,NA,intertidal zone,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kya,NA,kya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
